MatchID,TeamHomeID,TeamAwayID,TeamHomeFormation,TeamAwayFormation,ResultOfTeamHome,Date
1,7,3,6,8,-1,00:00.0
2,3,7,8,6,1,00:00.0
3,5,3,8,8,-1,00:00.0
4,3,5,8,6,1,00:00.0
5,3,30,8,5,1,00:00.0
6,30,3,5,8,0,00:00.0
7,8,3,4,8,-1,00:00.0
8,3,8,8,4,0,00:00.0
9,3,11,8,5,1,00:00.0
10,11,3,6,8,-1,00:00.0
11,3,54,8,6,1,00:00.0
12,54,3,6,8,1,00:00.0
13,3,14,8,5,-1,00:00.0
14,14,3,2,8,-1,00:00.0
15,43,3,6,8,1,00:00.0
16,3,43,8,6,1,00:00.0
17,1,3,2,8,1,00:00.0
18,3,1,8,2,-1,00:00.0
19,4,3,2,8,0,00:00.0
20,3,4,8,6,1,00:00.0
21,45,3,7,8,-1,00:00.0
22,3,45,8,3,0,00:00.0
23,3,52,8,8,1,00:00.0
24,52,3,5,8,1,00:00.0
25,3,110,8,5,1,00:00.0
26,110,3,2,8,0,00:00.0
27,3,56,8,5,1,00:00.0
28,56,3,5,8,-1,00:00.0
29,3,80,8,8,1,00:00.0
30,80,3,8,8,1,00:00.0
31,6,3,2,8,1,00:00.0
32,3,6,8,2,1,00:00.0
33,3,35,8,6,1,00:00.0
34,35,3,2,8,-1,00:00.0
35,111,3,5,8,-1,00:00.0
36,3,111,8,11,-1,00:00.0
37,3,39,8,5,0,00:00.0
38,39,3,5,8,-1,00:00.0
39,7,5,8,2,1,00:00.0
40,5,7,8,6,0,00:00.0
41,30,7,2,2,-1,00:00.0
42,7,30,4,6,-1,00:00.0
43,8,7,4,6,-1,00:00.0
44,7,8,2,8,-1,00:00.0
45,11,7,8,8,0,00:00.0
46,7,11,2,6,0,00:00.0
47,54,7,2,4,0,00:00.0
48,7,54,6,2,1,00:00.0
49,7,14,2,5,-1,00:00.0
50,14,7,6,2,0,00:00.0
51,43,7,4,8,1,00:00.0
52,7,43,8,8,-1,00:00.0
53,7,1,2,2,-1,00:00.0
54,1,7,2,5,1,00:00.0
55,7,4,2,2,0,00:00.0
56,4,7,2,2,1,00:00.0
57,7,45,2,2,1,00:00.0
58,45,7,2,2,1,00:00.0
59,52,7,4,8,-1,00:00.0
60,7,52,6,2,1,00:00.0
61,110,7,2,2,0,00:00.0
62,7,110,2,2,0,00:00.0
63,56,7,2,8,0,00:00.0
64,7,56,2,6,0,00:00.0
65,80,7,6,8,0,00:00.0
66,7,80,6,8,-1,00:00.0
67,6,7,6,2,1,00:00.0
68,7,6,5,6,0,00:00.0
69,7,35,8,2,-1,00:00.0
70,35,7,2,2,0,00:00.0
71,7,111,2,5,1,00:00.0
72,111,7,11,6,0,00:00.0
73,7,39,8,2,0,00:00.0
74,39,7,5,2,-1,00:00.0
75,5,30,6,2,-1,00:00.0
76,30,5,6,6,1,00:00.0
77,5,8,6,4,-1,00:00.0
78,8,5,4,2,1,00:00.0
79,5,11,2,7,-1,00:00.0
80,11,5,6,7,0,00:00.0
81,54,5,8,5,0,00:00.0
82,5,54,6,6,1,00:00.0
83,14,5,2,7,1,00:00.0
84,5,14,6,5,-1,00:00.0
85,5,43,7,5,-1,00:00.0
86,43,5,6,7,1,00:00.0
87,1,5,2,7,-1,00:00.0
88,5,1,6,7,-1,00:00.0
89,4,5,2,8,1,00:00.0
90,5,4,6,2,-1,00:00.0
91,45,5,6,6,0,00:00.0
92,5,45,6,2,1,00:00.0
93,52,5,4,7,0,00:00.0
94,5,52,6,8,0,00:00.0
95,110,5,2,6,1,00:00.0
96,5,110,7,2,-1,00:00.0
97,56,5,6,6,1,00:00.0
98,5,56,6,2,1,00:00.0
99,5,80,6,8,1,00:00.0
100,80,5,8,7,1,00:00.0
101,5,6,6,6,-1,00:00.0
102,6,5,6,10,1,00:00.0
103,5,35,6,2,-1,00:00.0
104,35,5,5,6,1,00:00.0
105,111,5,4,6,0,00:00.0
106,5,111,4,17,-1,00:00.0
107,5,39,6,2,-1,00:00.0
108,39,5,5,6,-1,00:00.0
109,30,8,4,4,-1,00:00.0
110,8,30,4,6,1,00:00.0
111,30,11,2,6,-1,00:00.0
112,11,30,2,5,-1,00:00.0
113,54,30,2,2,1,00:00.0
114,30,54,4,6,-1,00:00.0
115,14,30,2,2,1,00:00.0
116,30,14,5,2,1,00:00.0
117,30,43,2,4,-1,00:00.0
118,43,30,5,5,1,00:00.0
119,30,1,2,2,-1,00:00.0
120,1,30,2,6,1,00:00.0
121,30,4,2,2,-1,00:00.0
122,4,30,2,4,1,00:00.0
123,30,45,2,5,-1,00:00.0
124,45,30,2,5,1,00:00.0
125,52,30,8,2,-1,00:00.0
126,30,52,4,2,1,00:00.0
127,30,110,6,2,1,00:00.0
128,110,30,2,2,0,00:00.0
129,30,56,2,6,-1,00:00.0
130,56,30,2,2,0,00:00.0
131,80,30,8,8,1,00:00.0
132,30,80,6,8,0,00:00.0
133,6,30,2,2,1,00:00.0
134,30,6,2,6,-1,00:00.0
135,35,30,5,2,1,00:00.0
136,30,35,2,2,-1,00:00.0
137,111,30,5,2,-1,00:00.0
138,30,111,2,11,-1,00:00.0
139,30,39,2,2,0,00:00.0
140,39,30,2,6,-1,00:00.0
141,8,11,4,6,1,00:00.0
142,11,8,6,4,1,00:00.0
143,8,54,4,7,0,00:00.0
144,54,8,6,8,0,00:00.0
145,8,14,4,2,-1,00:00.0
146,14,8,2,4,1,00:00.0
147,8,43,4,4,1,00:00.0
148,43,8,6,4,1,00:00.0
149,1,8,2,4,1,00:00.0
150,8,1,8,2,-1,00:00.0
151,4,8,6,4,-1,00:00.0
152,8,4,4,2,-1,00:00.0
153,8,45,3,10,1,00:00.0
154,45,8,2,4,0,00:00.0
155,52,8,4,4,1,00:00.0
156,8,52,8,4,1,00:00.0
157,110,8,2,4,0,00:00.0
158,8,110,8,2,1,00:00.0
159,56,8,8,4,-1,00:00.0
160,8,56,8,6,1,00:00.0
161,8,80,4,8,1,00:00.0
162,80,8,8,8,1,00:00.0
163,6,8,8,4,0,00:00.0
164,8,6,8,5,0,00:00.0
165,8,35,4,6,1,00:00.0
166,35,8,4,4,1,00:00.0
167,111,8,10,4,0,00:00.0
168,8,111,8,11,1,00:00.0
169,8,39,4,5,1,00:00.0
170,39,8,5,8,-1,00:00.0
171,54,11,2,8,-1,00:00.0
172,11,54,5,6,1,00:00.0
173,11,14,6,2,-1,00:00.0
174,14,11,2,6,1,00:00.0
175,43,11,6,7,1,00:00.0
176,11,43,5,6,1,00:00.0
177,11,1,6,7,-1,00:00.0
178,1,11,2,5,0,00:00.0
179,4,11,2,5,0,00:00.0
180,11,4,5,2,1,00:00.0
181,11,45,6,6,0,00:00.0
182,45,11,6,6,0,00:00.0
183,11,52,6,8,-1,00:00.0
184,52,11,5,5,0,00:00.0
185,11,110,6,2,-1,00:00.0
186,110,11,2,2,1,00:00.0
187,56,11,6,6,0,00:00.0
188,11,56,8,5,1,00:00.0
189,11,80,8,8,1,00:00.0
190,80,11,8,6,-1,00:00.0
191,6,11,6,2,1,00:00.0
192,11,6,6,2,1,00:00.0
193,35,11,2,6,-1,00:00.0
194,11,35,6,2,1,00:00.0
195,11,111,6,4,1,00:00.0
196,111,11,10,6,-1,00:00.0
197,11,39,5,5,1,00:00.0
198,39,11,2,8,0,00:00.0
199,54,14,6,4,1,00:00.0
200,14,54,8,6,0,00:00.0
201,54,43,2,6,-1,00:00.0
202,43,54,6,6,1,00:00.0
203,54,1,6,6,-1,00:00.0
204,1,54,2,6,1,00:00.0
205,4,54,2,2,1,00:00.0
206,54,4,6,2,1,00:00.0
207,45,54,6,6,0,00:00.0
208,54,45,6,11,1,00:00.0
209,54,52,2,4,1,00:00.0
210,52,54,6,2,-1,00:00.0
211,110,54,2,2,1,00:00.0
212,54,110,6,2,0,00:00.0
213,56,54,6,2,0,00:00.0
214,54,56,6,6,1,00:00.0
215,80,54,8,6,1,00:00.0
216,54,80,2,8,-1,00:00.0
217,54,6,6,6,-1,00:00.0
218,6,54,8,6,1,00:00.0
219,35,54,2,2,0,00:00.0
220,54,35,2,2,0,00:00.0
221,111,54,4,2,-1,00:00.0
222,54,111,6,11,1,00:00.0
223,39,54,2,5,1,00:00.0
224,54,39,2,5,1,00:00.0
225,14,43,7,4,-1,00:00.0
226,43,14,6,7,1,00:00.0
227,14,1,4,5,0,00:00.0
228,1,14,2,7,1,00:00.0
229,14,4,5,5,1,00:00.0
230,4,14,5,4,1,00:00.0
231,14,45,2,5,0,00:00.0
232,45,14,5,5,-1,00:00.0
233,14,52,2,6,1,00:00.0
234,52,14,2,7,1,00:00.0
235,110,14,2,2,1,00:00.0
236,14,110,17,5,0,00:00.0
237,14,56,2,5,0,00:00.0
238,56,14,2,4,1,00:00.0
239,14,80,2,8,0,00:00.0
240,80,14,8,2,1,00:00.0
241,6,14,2,5,1,00:00.0
242,14,6,4,8,0,00:00.0
243,35,14,2,2,-1,00:00.0
244,14,35,2,2,-1,00:00.0
245,111,14,13,5,0,00:00.0
246,14,111,7,4,-1,00:00.0
247,14,39,2,5,0,00:00.0
248,39,14,5,7,-1,00:00.0
249,1,43,6,6,-1,00:00.0
250,43,1,8,4,1,00:00.0
251,43,4,6,6,1,00:00.0
252,4,43,4,6,-1,00:00.0
253,43,45,6,6,1,00:00.0
254,45,43,2,6,-1,00:00.0
255,52,43,2,6,-1,00:00.0
256,43,52,6,2,1,00:00.0
257,43,110,6,2,1,00:00.0
258,110,43,2,6,0,00:00.0
259,56,43,5,8,1,00:00.0
260,43,56,6,6,0,00:00.0
261,43,80,4,5,1,00:00.0
262,80,43,8,8,1,00:00.0
263,6,43,6,6,-1,00:00.0
264,43,6,6,6,1,00:00.0
265,35,43,2,8,0,00:00.0
266,43,35,6,5,1,00:00.0
267,43,111,6,4,1,00:00.0
268,111,43,2,6,-1,00:00.0
269,43,39,6,5,1,00:00.0
270,39,43,5,6,-1,00:00.0
271,1,4,2,6,0,00:00.0
272,4,1,2,2,1,00:00.0
273,1,45,2,5,1,00:00.0
274,45,1,2,2,-1,00:00.0
275,52,1,6,2,-1,00:00.0
276,1,52,2,5,1,00:00.0
277,110,1,2,2,0,00:00.0
278,1,110,2,2,1,00:00.0
279,1,56,2,2,0,00:00.0
280,56,1,7,5,-1,00:00.0
281,80,1,5,2,-1,00:00.0
282,1,80,2,8,1,00:00.0
283,1,6,2,6,1,00:00.0
284,6,1,2,2,-1,00:00.0
285,35,1,6,2,0,00:00.0
286,1,35,2,7,1,00:00.0
287,1,111,2,11,1,00:00.0
288,111,1,11,2,1,00:00.0
289,1,39,2,2,1,00:00.0
290,39,1,5,2,-1,00:00.0
291,45,4,2,2,1,00:00.0
292,4,45,3,5,1,00:00.0
293,52,4,4,2,0,00:00.0
294,4,52,2,2,1,00:00.0
295,110,4,2,2,-1,00:00.0
296,4,110,4,2,1,00:00.0
297,56,4,5,5,-1,00:00.0
298,4,56,2,5,0,00:00.0
299,4,80,2,8,0,00:00.0
300,80,4,8,4,-1,00:00.0
301,4,6,2,8,0,00:00.0
302,6,4,2,2,1,00:00.0
303,4,35,2,2,-1,00:00.0
304,35,4,5,2,-1,00:00.0
305,4,111,2,4,1,00:00.0
306,111,4,11,4,1,00:00.0
307,39,4,2,2,-1,00:00.0
308,4,39,2,5,0,00:00.0
309,45,52,2,8,1,00:00.0
310,52,45,6,2,-1,00:00.0
311,45,110,3,2,0,00:00.0
312,110,45,2,5,1,00:00.0
313,45,56,5,6,1,00:00.0
314,56,45,6,2,1,00:00.0
315,45,80,5,8,1,00:00.0
316,80,45,8,2,-1,00:00.0
317,45,6,6,7,-1,00:00.0
318,6,45,2,2,-1,00:00.0
319,45,35,2,2,-1,00:00.0
320,35,45,6,2,-1,00:00.0
321,111,45,5,3,0,00:00.0
322,45,111,3,13,0,00:00.0
323,39,45,2,2,0,00:00.0
324,45,39,2,2,1,00:00.0
325,110,52,2,8,-1,00:00.0
326,52,110,7,2,1,00:00.0
327,52,56,4,8,-1,00:00.0
328,56,52,6,2,1,00:00.0
329,80,52,8,6,0,00:00.0
330,52,80,5,8,1,00:00.0
331,6,52,6,4,1,00:00.0
332,52,6,5,8,1,00:00.0
333,52,35,6,6,0,00:00.0
334,35,52,2,5,1,00:00.0
335,111,52,4,8,1,00:00.0
336,52,111,2,8,1,00:00.0
337,39,52,2,4,-1,00:00.0
338,52,39,2,6,-1,00:00.0
339,56,110,6,2,1,00:00.0
340,110,56,2,6,-1,00:00.0
341,80,110,8,2,1,00:00.0
342,110,80,2,8,1,00:00.0
343,110,6,2,6,1,00:00.0
344,6,110,6,2,0,00:00.0
345,35,110,6,2,-1,00:00.0
346,110,35,2,5,-1,00:00.0
347,110,111,2,4,0,00:00.0
348,111,110,6,2,1,00:00.0
349,39,110,2,2,0,00:00.0
350,110,39,2,2,1,00:00.0
351,80,56,8,8,0,00:00.0
352,56,80,6,8,1,00:00.0
353,6,56,6,5,1,00:00.0
354,56,6,6,8,0,00:00.0
355,56,35,6,2,0,00:00.0
356,35,56,5,5,1,00:00.0
357,56,111,6,4,-1,00:00.0
358,111,56,17,7,-1,00:00.0
359,39,56,2,2,1,00:00.0
360,56,39,6,2,0,00:00.0
361,80,6,8,7,0,00:00.0
362,6,80,5,8,1,00:00.0
363,80,35,8,2,1,00:00.0
364,35,80,2,8,-1,00:00.0
365,80,111,8,8,0,00:00.0
366,111,80,10,8,-1,00:00.0
367,39,80,2,5,0,00:00.0
368,80,39,13,2,0,00:00.0
369,35,6,6,2,-1,00:00.0
370,6,35,2,5,1,00:00.0
371,111,6,4,8,-1,00:00.0
372,6,111,6,5,1,00:00.0
373,39,6,2,2,-1,00:00.0
374,6,39,6,5,0,00:00.0
375,35,111,2,4,-1,00:00.0
376,111,35,5,4,0,00:00.0
377,35,39,5,5,1,00:00.0
378,39,35,2,5,-1,00:00.0
379,39,111,5,4,1,00:00.0
380,111,39,10,2,1,00:00.0
